RA,Dec,MagV,Identifier,Name,Bayer,HR,HD,IAUboundary
127.0824509,-8.816281909,6.43,HIP 41547,-,26 G. Hya,3338,71665,Hya
127.1214696,-2.51712577,6.41,HIP 41564,-,LO Hya (25 G. Hya),3337,71663,Hya
127.1501624,-23.07097981,6.494,HIP 41572,-,-,3344,71815,Pyx
127.1532721,24.14492164,6.05,HIP 41574,-,28 Cnc,3329,71496,Cnc
127.1555813,14.21082424,5.948,HIP 41578,-,29 Cnc,3333,71555,Cnc
127.2125109,-9.748586787,5.989,HIP 41597,-,27 G. Hya,3342,71766,Hya
127.2697967,-47.92892255,5.535,HIP 41616,-,* 33 Vel A,3358,72108A,Vel
127.2815296,-44.16041428,5.84,HIP 41621,-,-,3356,72067,Vel
127.3645144,-44.72481212,5.15,HIP 41639,-,-,3359,72127,Vel
127.364521,-44.724819,5.19,-,-,-,3359,72127A,Vel
127.3741771,-54.21173177,6.44,HIP 41644,-,V469 Car,-,72303,Car
127.4016215,-55.19091146,6.346,HIP 41653,-,-,3368,72322,Car
127.4401448,-46.33169874,5.969,HIP 41674,-,-,3363,72232,Vel
127.4424812,67.29743967,5.884,HIP 41676,-,-,3303,71088,UMa
127.5661257,60.71816822,3.42,HIP 41704,Muscida,ο Ursae Majoris,3323,71369,UMa
127.6192122,-32.15928298,5.588,HIP 41723,-,-,3362,72227,Pyx
127.6634536,-44.73731844,6.29,HIP 41737,-,-,3371,72350,Vel
127.7942724,-47.86661997,6.373,HIP 41781,-,-,3375,72485,Vel
127.8331927,37.26494348,6.174,HIP 41798,-,-,3348,71906,Lyn
127.8529034,-39.06410463,6.48,HIP 41806,-,-,3373,72436A,Vel
127.8732767,-54.39401012,6.333,HIP 41813,-,-,3382,72650,Vel
127.8771645,24.0811077,5.694,HIP 41816,-,υ 1 Cancri,3355,72041,Cnc
127.8788496,-19.57746247,5.43,HIP 41817,-,-,3367,72310,Pyx
127.8988748,18.09441817,5.337,HIP 41822,-,θ Cancri,3357,72094,Cnc
127.9220811,18.98772115,6.45,HIP 41833,-,-,-,72115,Cnc
128.0206546,-53.21191657,6.021,HIP 41861,-,-,3386,72737,Vel
128.0206648,-53.21191403,6.03,-,-,-,3386,72738A,Vel
128.1390285,-15.03015917,6.38,HIP 41893,-,29 G. Hya,3374,72462,Hya
128.1393643,53.11484693,6.226,HIP 41894,-,-,3351,71952,Lyn
128.1661267,10.06600813,6.474,HIP 41904,-,34 Cnc,3372,72359,Cnc
128.168751,-47.04210653,6.481,HIP 41905,-,-,-,72752,Vel
128.1740172,-73.35678788,6.1,HIP 41907,-,33 G. Vol,3417,73468,Vol
128.1770675,20.44116224,5.325,HIP 41909,-,η Cancri,3366,72292,Cnc
128.2145653,-31.50085138,6.38,HIP 41926,-,-,3384,72673,Pyx
128.2221316,69.31990269,6.297,HIP 41927,-,-,3332,71553,UMa
128.2437506,-34.63403905,6.366,HIP 41939,-,VX Pyx,3385,72688,Pyx
128.2504336,24.08479432,6.34,HIP 41940,-,υ 2 Cancri,3369,72324,Cnc
128.2577473,-45.75290462,6.354,HIP 41941,-,-,-,72798,Vel
128.3327509,-38.37067455,6.461,HIP 41970,-,-,3388,72787,Vel
128.3405396,36.4364324,6.186,HIP 41975,-,32 Lyn,3365,72291,Lyn
128.3761399,-46.97066127,6.221,HIP 41986,-,-,3390,72900,Vel
128.4101294,-38.84881276,5.908,HIP 42001,-,-,3389,72832,Vel
128.4311593,4.756999657,5.867,HIP 42008,-,-,3378,72561,Hya
128.4376921,13.25731185,6.247,HIP 42010,-,-,3376,72505,Cnc
128.5067258,-2.151555565,5.792,HIP 42028,-,33 G. Hya,3383,72660,Hya
128.5556088,8.452306678,6.029,HIP 42049,-,-,3380,72617,Cnc
128.6218892,-37.61116986,6.38,HIP 42070,-,-,3399,72993,Vel
