RA,Dec,MagV,Identifier
037.6699083201602,+40.1675741828101,6.82,HIP 11682
034.6510477744624,+40.2787760926497,7.212,HIP 10772
034.9053322195127,+39.8349448361593,6.628,HIP 10848
038.8662552454444,+39.6643807080008,6.345,HIP 12057
039.3368323071660,+39.8960982078032,6.522,HIP 12218
038.5346168341634,+38.7350288733953,6.67,HIP 11947
037.4825247014561,+39.1370713662823,6.772,HIP 11623
037.0416225017991,+38.8411059748631,7.03,HIP 11485
039.6164816510405,+38.0891428385379,6.287,HIP 12305
043.42755351,+38.33748699,5.343,HIP 13490
041.8654642951754,+37.7910388115470,6.88,HIP 13028
042.3621434960839,+37.3263947989310,6.448,HIP 13176
042.6470456375690,+36.9483268992867,6.44,HIP 13257
043.0471026170732,+37.0940945573530,6.89,HIP 13378
039.5742927364098,+37.7267127773621,6.191,HIP 12287
046.3978283561401,+36.7987401120964,6.97,HIP 14387
045.3141600756793,+36.1179003305078,7.25,HIP 14066
312.8789161830239,+37.9894896661704,7.27,HIP 102953
314.9803206199971,+40.2588215240303,6.593,HIP 103641
314.9287906892507,+38.8229114265641,6.771,HIP 103624
315.5873256512854,+39.5090322190814,6.44,HIP 103822
315.7701640143501,+38.6574122779706,6.097,HIP 103894
318.57862320,+41.14677686,7.17,HIP 104844
319.7305393479049,+41.0405178786071,6.15,HIP 105229
315.3587542200931,+40.6179898381484,7.16,HIP 103749
319.3465955194769,+42.6835712321202,6.159,HIP 105101
319.1234117044355,+42.2517888386041,6.21,HIP 105034
318.8634901375186,+42.0263806671765,6.6,HIP 104941
320.7025238755719,+40.9325466304583,7.155,HIP 105562
323.7860019258550,+43.7032981145813,6.802,HIP 106578
322.9038019983107,+42.7007585318098,7.217,HIP 106284
325.0462831110264,+43.2738378013093,5.086,HIP 106999
323.1664914130199,+42.2955371524850,6.92,HIP 106373
324.9748744884363,+44.4321394338848,6.75,HIP 106970
327.5453687694097,+43.8881817469576,7.14,HIP 107792
324.3661424444895,+44.6965479870974,6.2,HIP 106752
326.5691842230448,+43.0607678478090,6.53,HIP 107488
331.4602067710301,+45.1124991118610,6.494,HIP 109079
331.5081348421912,+45.0143442996861,5.07,HIP 109102
330.73608616,+44.64986136,5.596,HIP 108845
331.0279950266013,+44.3451144781042,6.56,HIP 108933
331.3187476638321,+46.7448326454235,6.13,HIP 109033
333.0075119980689,+47.0956283325618,6.686,HIP 109591
333.4551685725346,+45.4406096764764,5.53,HIP 109745
334.0039190862036,+45.0891191749256,7.13,HIP 109944
332.1700751553221,+45.7422511238064,6.11,HIP 109303
331.5511080065371,+45.2486856469963,6.181,HIP 109121
332.2718401085314,+44.8547435177434,6.774,HIP 109342
332.3133319807481,+44.8464774703327,6.732,HIP 109354
335.2564469371,+46.5365683569,4.54,HIP 110351
337.3825937742,+47.7068868631,4.37,HIP 111022
342.8054904044011,+48.7332380381423,6.872,HIP 112850
342.9618407372631,+46.7355187874328,7.17,HIP 112907
340.9233008446159,+47.4117772195009,6.78,HIP 112221
347.3197767641508,+49.6506141861146,6.748,HIP 114329
348.1375158304,+49.4062070853,4.52,HIP 114570
349.4360240042291,+49.0153021884598,4.86,HIP 115022
349.7821566992668,+48.9194367260754,7.23,HIP 115128
349.8741958734250,+48.6253226253356,5.44,HIP 115152
352.5308887408689,+49.1331453435312,6.152,HIP 115996
352.8564306247354,+49.5079220196657,7.29,HIP 116094
354.7847164494365,+50.4717313430846,5.35,HIP 116709
355.3616040379378,+49.5124158022415,6.26,HIP 116876
353.8299829325857,+50.3117725055700,7.22,HIP 116406
359.8114300693642,+50.5292445649868,7.22,HIP 118264
358.9484875743622,+48.2202603076843,6.68,HIP 117979
003.2575022798879,+49.9265235622232,7.18,HIP 1043
000.9243515906302,+48.4369048298283,6.78,HIP 297
002.9961874069027,+48.1523973148325,6.162,HIP 967
000.3302130960596,+49.9815565965980,6.217,HIP 106
004.2876822474192,+47.9474054592438,5.852,HIP 1372
004.2248205525681,+49.4619161030597,6.52,HIP 1352
005.0215259328250,+48.8654474155446,6.53,HIP 1603
005.1288685685735,+48.9686336637189,6.47,HIP 1639
008.9528949422421,+49.0211535636437,6.98,HIP 2814
009.7912228676642,+49.3545885927322,5.419,HIP 3083
007.2374818971872,+48.4137088170836,7.13,HIP 2271
006.8018619600429,+49.9857299886425,6.96,HIP 2151
006.5908842619168,+49.0489910742401,6.93,HIP 2087
010.9973824316255,+49.0704377473439,7.11,HIP 3444
011.1813277708,+48.2843648814,4.5,HIP 3504
013.3307496137250,+49.6556476851254,7.1,HIP 4174
011.1091286587857,+47.8639815979966,5.648,HIP 3478
012.4050390988825,+47.7639015415854,6.65,HIP 3865
014.6795794062518,+47.0365730752386,6.819,HIP 4584
014.8845436300470,+48.9663389396360,6.89,HIP 4637
015.9893409972986,+48.8613363700811,7.17,HIP 4989
013.7716875202833,+48.6785229378237,6.31,HIP 4298
014.9987113902694,+48.0199536201326,7.116,HIP 4672
015.0553147648564,+47.3184865194132,7.25,HIP 4688
017.4658963204602,+49.0538572041786,7.18,HIP 5457
017.7176850593202,+49.1643888702898,7.26,HIP 5533
017.37552340,+47.24179429,4.25,HIP 5434
019.1020433561641,+48.0822234800930,6.608,HIP 5939
018.2400002002212,+47.1952754111833,7.06,HIP 5677
015.9723216107187,+47.6422951432765,6.82,HIP 4983
022.5254230993666,+47.0072739007126,5.261,HIP 6999
019.5422869391063,+47.4197071407743,6.246,HIP 6087
024.6326006186634,+45.3997085034723,6.38,HIP 7651
024.0128440133021,+47.1144703885877,7.07,HIP 7457
026.1105281060761,+46.1396927080447,6.31,HIP 8127
026.9500604615508,+46.2297491273232,6.317,HIP 8370
025.8187659904488,+45.3226497424160,6.32,HIP 8044
030.0625856939267,+44.4200172273267,6.86,HIP 9359
032.1398328001871,+44.4594290421389,6.38,HIP 9983
035.39858266,+44.59997235,7.19,HIP 10985
033.3055091634783,+44.2316466494814,4.826,HIP 10340
036.0114766302741,+42.1022918055633,6.66,HIP 11185
034.5030371683571,+42.9012309321315,6.9,HIP 10721
035.2611429866364,+42.9439536303059,7.27,HIP 10951
038.2902835532874,+42.8961829597880,7.15,HIP 11873
039.1507512141413,+42.4005244890629,6.79,HIP 12151
039.2579631291846,+42.0626304531958,7.28,HIP 12191
040.5621423364925,+40.1939393779139,4.92,HIP 12623
044.5096970763603,+38.6149253321229,6.028,HIP 13832
045.0495255505979,+38.1317222316913,6.11,HIP 13997
044.6902857412977,+39.6627281085135,4.7,HIP 13879
045.4716415913501,+38.8782278514944,6.65,HIP 14107
045.8831032446377,+38.4100206929063,7.14,HIP 14234
046.29414106,+38.84027619,3.39,HIP 14354
047.3674527772451,+37.3014568345523,6.95,HIP 14666
046.0391916453892,+38.0794952547867,6.86,HIP 14287
309.3482677366636,+38.3286661703532,6.202,HIP 101756
310.2515171304,+39.0823232097,6.497,HIP 102062
309.3444492924195,+38.0984571572974,7.077,HIP 101754
311.9982702147372,+39.2877007503143,6.99,HIP 102648
313.5927268006779,+40.7029582732869,6.702,HIP 103189
313.8463042166982,+40.3000265121950,7.12,HIP 103277
309.88881696,+40.57966056,6.095,HIP 101949
314.0782851022218,+42.7687191951889,6.68,HIP 103348
313.3599608049799,+42.4102000506251,6.662,HIP 103108
313.82483831,+42.51347748,7,HIP 103272
314.8525804691248,+42.3244626851453,6.465,HIP 103596
314.6289742835136,+41.9399243531652,6.156,HIP 103532
315.9672323537287,+41.6281733114946,6.324,HIP 103963
