RA,Dec,MagV,Identifier
086.6895687404833,+15.8224958789814,5.994,HIP 27265
085.7419811184680,+14.1785006765371,6.717,HIP 26930
086.13059612,+15.06350586,7.12,HIP 27078
086.8048067983,+14.4883242822,5.721,HIP 27316
084.9778141175640,+13.0227174843516,7.13,HIP 26655
086.9287836405132,+13.8995955985778,5.29,HIP 27364
086.1726495245194,+12.4153179763536,6.94,HIP 27091
086.2553699911632,+12.8883321206173,6.46,HIP 27116
086.7985270312672,+12.3395414956700,7.13,HIP 27315
087.0086416698923,+12.4184047959903,6.666,HIP 27390
084.8939481792160,+09.8484726001588,7.22,HIP 26627
084.5905654337447,+08.4873098291307,6.71,HIP 26518
085.6253222417425,+10.5384910634019,7.28,HIP 26887
086.7172247160062,+09.5223394150883,5.768,HIP 27280
084.5046614064514,+07.5414178615833,5.852,HIP 26487
087.1284492334865,+07.5513124165230,7.07,HIP 27431
085.9022779075500,+06.8884880537638,7.24,HIP 26992
086.2520967099020,+06.3504138010754,7.18,HIP 27115
086.3560960521230,+06.2978793255088,7.21,HIP 27157
084.7964429883,+04.1214665208,4.59,HIP 26594
085.8496572934381,+05.3586331076774,6.75,HIP 26971
086.1274709783674,+04.3391830712999,7.17,HIP 27076
085.3616165953035,+03.7780358775929,6.82,HIP 26795
086.2575319253621,+04.0082305777183,6.089,HIP 27118
084.9545218788923,+01.4917188842168,6.883,HIP 26648
084.9082889911681,+00.8338502105156,6.91,HIP 26633
085.5733896282115,+02.3671806621778,6.66,HIP 26870
085.6193016615345,+01.4746309372384,4.9,HIP 26885
087.0610616815473,+01.6096968226596,7.07,HIP 27410
085.2733159880578,+00.3377546434998,5.912,HIP 26762
084.39501316,-01.42213447,7.09,HIP 26439
084.5572373793517,-01.1691755581702,6.826,HIP 26508
084.6865271917247,-02.6000790859138,3.79,HIP 26549
085.6371606226869,-00.0160942781553,6.85,HIP 26893
085.0166102615751,-01.4254775297306,7.03,HIP 26668
085.2113124075,-01.1287879300,4.95,HIP 26736
085.7888264822975,-01.6132525997033,6.311,HIP 26953
087.1708623954334,-01.7855578117518,6.92,HIP 27446
085.18969443,-01.94257359,1.77,HIP 26727
085.2348767795539,-01.5071824207710,6.96,HIP 26742
084.6901064569756,-02.5996912320368,6.69,HIP 26551
084.8797938648733,-03.5647023946068,5.974,HIP 26624
084.4724376782701,-04.8140344881007,6.18,HIP 26477
084.5637237764994,-04.1082320640530,6.858,HIP 26510
084.4031393821499,-04.9341399543188,7.149,HIP 26442
085.0821903054003,-03.4270791998093,7.045,HIP 26693
085.2403400240601,-03.8431491633395,7.285,HIP 26743
086.5119510548592,-04.2684854971628,6.31,HIP 27212
087.1455839388217,-04.0946443137239,5.97,HIP 27435
085.1554007928569,-02.8252353462905,6.22,HIP 26713
084.6582233604160,-06.5739557296611,5.96,HIP 26535
084.7211805173830,-07.2128240901792,4.8,HIP 26563
085.7246422625,-06.7961684014,5.965,HIP 26926
086.1383385096624,-06.8642607629404,6.762,HIP 27083
087.0434318663185,-08.3836367629089,7.29,HIP 27402
085.2276867029152,-11.2000528869044,6.869,HIP 26740
084.6654977680038,-08.4710118320981,7.09,HIP 26541
084.8785037728321,-09.7066264566212,6.481,HIP 26623
085.1924663018134,-10.4086640671720,6.52,HIP 26728
085.6406551809940,-10.6288098006752,7.02,HIP 26894
086.0733203965553,-10.0167309456258,7.12,HIP 27058
086.8620414870916,-10.5329469078460,6.06,HIP 27341
086.9391201683,-09.6696049186,2.06,HIP 27366
085.6355736205396,-11.6444041322621,7.01,HIP 26892
085.4602254925747,-12.3108862831031,7.17,HIP 26831
087.1653130436113,-14.3143672724154,6.73,HIP 27444
085.3963436479986,-15.3375610530330,6.99,HIP 26808
086.8641561237149,-15.2522158388249,7.26,HIP 27342
085.4229608758031,-16.7258276002854,6.2,HIP 26821
086.7445727013142,-16.6462484496504,7.26,HIP 27291
086.7825186190061,-16.2380803569460,6.157,HIP 27308
086.7389206612,-14.8219499842,3.525,HIP 27288
085.5603173630627,-17.5303735351915,6.144,HIP 26866
086.0174527138485,-18.2882502143592,7.24,HIP 27038
085.8402955780285,-18.5574740370772,5.727,HIP 26966
084.9362790457101,-20.4351892100943,6.89,HIP 26642
086.1183145139304,-20.1265719033794,6.341,HIP 27075
085.9437614749439,-21.4286562629508,6.68,HIP 27011
085.9699815677805,-21.2797351449288,7.12,HIP 27021
086.2111310739850,-21.6592271750657,6.79,HIP 27103
085.5581618346138,-22.3737133191721,5.89,HIP 26865
086.1157953917,-22.4483835453,3.6,HIP 27072
085.0245842301659,-23.7237566629373,7.15,HIP 26671
086.4778656470046,-23.1402984731210,7.04,HIP 27197
086.5582103257401,-23.6443542848635,6.66,HIP 27229
084.5287671320900,-27.2107494558809,6.53,HIP 26495
086.8412987021972,-27.1344852980744,7.16,HIP 27330
084.4151127564463,-28.6262933119834,7.25,HIP 26453
084.4359078075479,-28.6896900226294,5.31,HIP 26460
086.7690707802857,-28.6389129924752,6.23,HIP 27303
085.2184729722444,-29.7207194253545,7.01,HIP 26738
085.5482452215025,-30.5354367132121,6.172,HIP 26862
084.3811721913671,-31.0618437423575,7.19,HIP 26433
086.3045248245576,-31.6693140287929,6.81,HIP 27133
084.9576655565555,-32.6292155814555,5.437,HIP 26649
085.3621900891686,-33.4007418529078,6.342,HIP 26796
085.8104753020033,-33.4249704380816,6.87,HIP 26959
087.0820005818960,-33.4318058017881,6.86,HIP 27415
086.4995640128120,-32.3064346461421,5.18,HIP 27204
084.4503651674997,-34.6896924407785,6.56,HIP 26466
085.7227450487209,-33.9584016175139,7.2,HIP 26924
084.9122542996,-34.0741097197,2.65,HIP 26634
085.5633126099899,-34.6678153377064,5.283,HIP 26868
087.0907311556190,-34.9364803466228,7.286,HIP 27420
086.8278596941988,-35.6740734057633,6.282,HIP 27325
086.6753798235053,-36.2313544933374,6.82,HIP 27259
086.8617829363859,-36.4873261875292,7.11,HIP 27340
086.3510137308013,-39.3124991200929,7.23,HIP 27156
084.6813612198601,-40.7073053589319,5.804,HIP 26545
085.8757716841943,-39.4069083765252,6.243,HIP 26981
086.2766532312578,-40.1989400617798,7.18,HIP 27122
086.9920054413513,-40.6529763273701,6.619,HIP 27383
086.2701240236973,-41.7818779566382,7.21,HIP 27121
086.8728377855249,-41.5902062530422,6.806,HIP 27344
089.8821788683,+44.9474325719,1.9,HIP 28360
087.2159130047293,+39.5336166790503,6.8,HIP 27458
088.9858246200936,+41.3233209964252,6.63,HIP 28054
088.1652675512758,+39.5747061539028,6.39,HIP 27777
087.2934927325,+39.1810729731,4.5,HIP 27483
087.8723822515371,+39.1484991610019,3.95,HIP 27673
087.3409490024716,+38.7382550379849,7.19,HIP 27497
087.7601585146654,+37.3055717044736,4.74,HIP 27639
089.2309023120351,+38.2872456529145,7.2,HIP 28152
089.6382549386001,+38.8934704966242,7.23,HIP 28281
088.95932478,+36.93661275,7.27,HIP 28043
089.93029218,+37.21258463,2.62,HIP 28380
088.1670509187226,+33.9174644618704,6.07,HIP 27778
087.8572930461094,+32.1246967120336,6.26,HIP 27661
087.4814008237431,+31.7857126063184,7.224,HIP 27538
089.7328228898722,+29.9838262636332,7.1,HIP 28309
089.1406997745859,+28.9422662227213,6.336,HIP 28117
087.6655880503944,+27.5050603832079,7.12,HIP 27605
087.7421250808303,+27.9678624540303,5.582,HIP 27629
087.2788607494060,+25.6505828620037,7.23,HIP 27478
088.3318585721,+27.6122605103,4.552,HIP 27830
088.9177603731906,+27.7156512113606,7.04,HIP 28033
089.2731508657896,+27.3166575031428,7.248,HIP 28164
089.7734995336770,+27.5618450883337,7.27,HIP 28327
089.4985680050,+25.9539110664,4.82,HIP 28237
089.7204291724158,+25.7770124928054,6.634,HIP 28301
087.2541075217758,+24.5675429135085,4.873,HIP 27468
089.2338266160692,+24.2496894970777,6.029,HIP 28154
087.9610681939107,+23.3827953795136,6.98,HIP 27696
088.7250315870093,+22.5199456335483,7.208,HIP 27956
087.3033072663713,+21.1360370292972,7.28,HIP 27486
089.9150714827202,+21.6042266100934,6.878,HIP 28374
088.3292563580097,+20.2991008623309,6.694,HIP 27829
088.9548708001836,+20.1751917707963,5.4,HIP 28041
088.0975226160829,+19.8678499946029,5.985,HIP 27747
088.7361962913478,+19.7496194362908,5.894,HIP 27965
088.5957624554,+20.2761727883,4.4,HIP 27913
087.7692751057357,+18.5513029317183,6.73,HIP 27642
087.8660900853553,+18.4442222295940,6.99,HIP 27666
089.7282802609579,+18.8201667800122,7.06,HIP 28307
087.6204525847787,+14.3056067434938,5.52,HIP 27581
087.70275508,+14.44336194,6.75,HIP 27614
089.2108082420605,+16.3550764859664,7.23,HIP 28142
088.0928824635891,+14.1717863185219,5.586,HIP 27743
088.7299464641135,+14.2198437069773,6.64,HIP 27961
087.7141518479506,+14.0480581536861,6.6,HIP 27618
087.1971320277124,+11.9972264243289,6.924,HIP 27453
087.7635851682066,+11.4988898840929,6.94,HIP 27641
087.3872072596,+12.6513217281,4.875,HIP 27511
089.0143041114370,+13.9249155170881,6.6,HIP 28066
089.72181884,+12.80826322,5.75,HIP 28302
088.3024967032076,+11.8142258684281,7.19,HIP 27820
088.6344364543430,+11.7632016719465,6.573,HIP 27924
089.2060416774301,+11.5210587605566,5.884,HIP 28139
087.51119130,+09.87121496,5.867,HIP 27549
088.53970863,+10.24442427,7.22,HIP 27895
088.5556205036190,+10.5864040446584,6.115,HIP 27900
088.3250194428369,+09.5588873725824,7.21,HIP 27826
089.1168087375365,+09.5093941724191,5.964,HIP 28110
088.6197040273775,+08.0543448868313,7.16,HIP 27919
089.8654346735438,+08.4154699611319,6.76,HIP 28353
088.1119929789381,+06.2094291058783,6.91,HIP 27751
088.3601817390300,+06.2556840012682,7.2,HIP 27839
088.79293899,+07.40706400,0.42,HIP 27989
087.5544396312617,+04.4234046631203,5.936,HIP 27560
088.5656632955908,+03.2256409454072,6.302,HIP 27902
087.6251352654491,+02.0247014705599,5.976,HIP 27588
087.1915266122897,+00.7255686736503,7.25,HIP 27452
088.1101610398359,+01.8551394785846,4.75,HIP 27750
089.4770515108152,+01.2243115433725,6.202,HIP 28232
089.5563482877437,+01.8563912991668,6.91,HIP 28255
089.6018471465404,+01.8371090622643,5.886,HIP 28271
088.6834856384429,+00.9686156167910,5.975,HIP 27939
088.9888287340650,+00.8361465809908,7.16,HIP 28056
089.35527657,+00.02751706,6.905,HIP 28187
089.7065531466489,+00.5529936497578,5.2,HIP 28296
087.1894620108854,-01.5018523768168,7.15,HIP 27451
089.5487907069198,-00.9940184786049,6.198,HIP 28252
089.9072866299118,-01.4440701192545,6.62,HIP 28370
088.1225807928537,-02.2853449912278,7.24,HIP 27758
088.6445666892397,-04.0647120642102,6.551,HIP 27929
088.8537108312959,-04.8256216739951,7.06,HIP 28002
088.8757151980338,-04.6165445337270,5.857,HIP 28011
088.8973675541809,-04.7885820935541,6.264,HIP 28019
089.5897337733134,-04.6506718807734,6.984,HIP 28267
088.4236025751092,-05.7047449028187,7.09,HIP 27861
089.9516574698403,-06.5973814923922,7.25,HIP 28391
087.8415991742449,-07.5180021898399,5.341,HIP 27658
088.6234705578215,-08.4126502177896,6.59,HIP 27920
089.2280274135614,-08.3840233319531,6.88,HIP 28149
088.0322047218476,-09.0419001258972,5.96,HIP 27713
088.7257384498544,-09.1810632607704,7.25,HIP 27959
089.7679711258189,-09.5582506251312,5.029,HIP 28325
089.7545018898921,-09.3822244242217,6.16,HIP 28321
088.6817908101976,-11.7741905208264,5.613,HIP 27938
089.8425974782138,-12.8352527790533,7.05,HIP 28344
087.40226063,-14.48366636,5.49,HIP 27517
088.4945840145324,-14.1271636216710,7.19,HIP 27879
088.0060731591093,-15.5061380999409,7.09,HIP 27707
088.5986376347871,-15.7319882245399,7.19,HIP 27914
089.4149109883139,-15.4061244524877,7.18,HIP 28211
088.3786565672967,-16.2650097649149,7.27,HIP 27849
089.1012208508,-14.1676996900,3.72,HIP 28103
089.3886963443003,-18.0551881909314,6.68,HIP 28201
088.0528685795514,-19.0538123653142,7,HIP 27721
088.4899688341761,-19.6388030880086,6.669,HIP 27876
088.9703092194145,-21.6894254311379,6.78,HIP 28047
089.0443983803526,-21.1225525740127,6.89,HIP 28081
087.8304005267,-20.8790897644,3.85,HIP 27654
087.4729336102934,-22.9718877198646,5.861,HIP 27533
087.8692259336098,-22.9269476250627,6.156,HIP 27670
089.0594662221148,-22.8399754492516,5.945,HIP 28085
089.1434951764824,-23.2153117956613,6.361,HIP 28118
087.9763371482130,-25.2192829238555,7.02,HIP 27698
088.0320283945910,-25.9432362482928,6.86,HIP 27712
088.6631609730827,-26.6602745237306,6.84,HIP 27935
087.4758583342430,-30.6211495615801,6.63,HIP 27537
087.9982803154258,-29.4494240123137,6.444,HIP 27705
088.5583620546713,-29.1472421537910,6.334,HIP 27901
087.2803952624367,-32.5043599315905,6.86,HIP 27479
087.5389372591410,-32.8092601314436,6.82,HIP 27555
088.9953544746147,-31.5320494323229,6.72,HIP 28060
089.0872646096127,-31.3824376179485,5.51,HIP 28098
089.2041906890889,-31.9762445892315,6.419,HIP 28138
089.8179678070430,-32.2096948569502,7.25,HIP 28335
089.1331611849296,-33.4345148519360,7.29,HIP 28112
088.2786757300979,-33.8013612630236,4.87,HIP 27810
088.2049368801911,-34.5605457620823,6.64,HIP 27788
087.7399674962,-35.7683097808,3.12,HIP 27628
088.5279645820787,-35.9029935944333,6.77,HIP 27892
089.3842065700,-35.2832820211,4.36,HIP 28199
089.9115899610835,-35.3525926175252,6.76,HIP 28372
087.6190194579392,-37.6212349273955,7,HIP 27579
088.1382717940660,-37.6310605397894,5.615,HIP 27766
088.8746265958596,-37.1206453302550,4.961,HIP 28010
088.19880552,-38.52599838,6.749,HIP 27787
088.7186746501503,-39.9578563462425,5.543,HIP 27955
087.9807362351340,-41.1052903320928,6.7,HIP 27700
087.3921975897845,-44.8753948506450,6.373,HIP 27512
088.3452133972397,-42.9213291495740,6.54,HIP 27835
089.7866883054,-42.8151339389,3.96,HIP 28328
089.2290068720525,-44.0089709346083,6.644,HIP 28150
089.6564469529806,-44.0345592251855,5.802,HIP 28287
090.0787399132969,+44.5920134937445,6.2,HIP 28438
090.7229044094917,+43.3783328310268,6.35,HIP 28642
092.4151546327161,+43.1407547499495,7.08,HIP 29218
091.96081909,+42.66570740,7.089,HIP 29062
091.8614861004066,+41.8542824754904,6.144,HIP 29025
092.0963992492449,+41.0557281363202,6.339,HIP 29114
091.1655818531172,+38.5751233972384,6.93,HIP 28787
091.6462398605916,+38.4826481025180,5.345,HIP 28946
091.8814306565285,+38.0822475278990,7.01,HIP 29033
091.2607561517731,+37.9642725525732,6.32,HIP 28820
092.04869275,+37.98272548,7.14,HIP 29090
090.1021255373800,+34.5079249510218,6.76,HIP 28448
091.85766382,+36.27464296,7.04,HIP 29024
091.9832515036369,+36.0652766225337,6.95,HIP 29068
091.7780894442741,+35.2137094969353,7.2,HIP 28997
090.0600825722361,+33.1369348889647,6.844,HIP 28429
090.6567554597457,+32.5914005719422,6.786,HIP 28626
090.2918369955709,+31.0345195291625,6.19,HIP 28517
091.3912479823301,+33.5990504508994,6.213,HIP 28861
091.5654585372369,+31.9970150511213,7.15,HIP 28919
090.8404295174825,+31.3901930963991,7.07,HIP 28683
090.0205453137177,+28.1257380174891,6.671,HIP 28416
091.5935226263051,+29.5124122151829,6.033,HIP 28930
090.0251606862535,+27.2721865296592,6.617,HIP 28417
090.2518889639363,+27.5723627761521,6.04,HIP 28500
090.8913527171504,+26.5291344577014,7.01,HIP 28697
091.8334302668065,+26.6821560296846,7.07,HIP 29014
091.0502980892558,+25.4439431931682,6.94,HIP 28742
090.1178826016486,+22.8996986130109,7.06,HIP 28455
091.7027461417772,+23.6386009822383,6.65,HIP 28969
092.6247256522253,+22.9978781397531,6.88,HIP 29288
092.4332709466414,+23.1134885953329,5.75,HIP 29225
091.03006433,+23.26334447,4.15,HIP 28734
090.4234513956837,+22.4009988126340,6.355,HIP 28561
092.3851549019563,+22.1902679751879,5.904,HIP 29196
092.0099571688564,+21.2954295771026,7.29,HIP 29077
090.7790942270101,+20.5862881440962,6.87,HIP 28659
091.8246516137853,+20.8201997315402,7.09,HIP 29010
090.8640188139043,+19.6905647898605,5.13,HIP 28691
090.9799368342763,+20.1384560026859,4.63,HIP 28716
090.3369554378958,+18.9612760717481,7.22,HIP 28534
092.7573777169636,+18.1304616563939,6.335,HIP 29326
090.1011732438650,+16.2989595773081,6.521,HIP 28447
091.7326469662912,+16.3667142650377,6.56,HIP 28978
092.5643828168690,+15.9064643363393,7.06,HIP 29274
091.7872506579153,+14.4492315435861,7.1,HIP 29000
091.8930244829,+14.7684739156,4.397,HIP 29038
090.6388382476052,+13.0254538792992,6.96,HIP 28621
090.0716087703292,+12.6113979480923,6.78,HIP 28433
092.12651423,+13.97105862,7.037,HIP 29126
092.6973275947646,+13.6594708024154,6.918,HIP 29310
090.8532041172895,+11.6810672977629,6.075,HIP 28686
090.3222227503001,+09.0724312927659,7.27,HIP 28526
090.59581950,+09.64727279,4.13,HIP 28614
091.6168475645610,+10.7502831328639,7.19,HIP 28937
091.8995524941405,+10.4563108301551,6.69,HIP 29040
091.7891619658896,+09.1659861705637,6.94,HIP 29002
092.4864579076869,+09.4677747478409,7.29,HIP 29243
092.1959680271508,+08.6694344757416,6.55,HIP 29138
090.7916566524046,+07.6271488824827,6.71,HIP 28667
092.2802028127681,+07.5135254784043,6.64,HIP 29166
090.3805704091381,+03.1865174616153,7.18,HIP 28543
090.2055075781545,+02.9160086083307,6.97,HIP 28485
090.3801800267266,+02.9092590307829,7.17,HIP 28542
091.2424268476257,+05.4199690049064,5.658,HIP 28812
091.2431744433362,+04.1586562333053,5.621,HIP 28814
090.8586374734809,+03.8624565566525,7.11,HIP 28689
092.4547624333838,+02.8694690456002,6.57,HIP 29236
092.5991128210964,+02.9018721177065,6.84,HIP 29282
090.5712761629261,+01.6940549436723,6.561,HIP 28609
091.7280586357510,+02.1730470094978,7.16,HIP 28976
092.2486499316118,+02.4963908450631,6.85,HIP 29154
092.7627157322837,+02.3305017402921,7.18,HIP 29329
091.2856917410475,+00.8664964875004,7.04,HIP 28830
091.3446189245549,+00.6128417092170,7.04,HIP 28847
091.7473679959087,+00.0769611227318,7.25,HIP 28986
092.2412665574722,+02.4996910538886,5.73,HIP 29151
091.1784783511104,-01.5804634861012,6.95,HIP 28792
090.8294938212648,-02.4786593096231,7.14,HIP 28681
092.2362477229073,-02.0370339373551,7.05,HIP 29149
090.0139574562622,-03.0742594585399,4.52,HIP 28413
090.5369797012798,-05.1369548535933,6.54,HIP 28595
091.7344118091165,-03.3411814002205,6.92,HIP 28981
091.6614035381242,-04.1938328003919,5.362,HIP 28949
090.0047081961320,-08.1075449491950,6.61,HIP 28409
091.5093804022887,-05.8802062499108,6.86,HIP 28897
092.4010507957221,-05.7114287473564,6.148,HIP 29210
091.7439818427569,-06.2027125550324,6.58,HIP 28985
092.1987576948630,-06.8213716479771,6.46,HIP 29140
092.7550545088128,-06.7542147561377,6.15,HIP 29323
092.1903868868524,-07.9363561703260,6.67,HIP 29135
092.2783147509370,-08.3015681515319,6.63,HIP 29163
091.0562592187043,-06.7089515430837,5.21,HIP 28744
090.4600998980050,-10.5979325901681,5.01,HIP 28574
091.3626346590892,-10.2425944670270,5.874,HIP 28854
091.7162116660503,-11.1735912827201,6.636,HIP 28973
092.1058097560807,-11.1462907624278,6.9,HIP 29118
090.0735846365982,-12.9000320347217,6.195,HIP 28434
091.0465841873261,-13.6895029617865,7.06,HIP 28739
091.4820149196697,-13.2477889371702,7.19,HIP 28886
090.4134281577350,-15.5892837479751,6.65,HIP 28553
090.3924684168711,-16.3987801525419,7.1,HIP 28547
090.6408851059322,-14.4971555318140,6.186,HIP 28622
091.0544120963005,-14.0843174231308,6.94,HIP 28743
091.5388487694441,-14.9352535998483,4.663,HIP 28910
092.3938488122567,-14.5846165781493,5.555,HIP 29205
092.0267343749550,-15.9012364940824,6.95,HIP 29083
092.5692592846272,-15.0594093634374,6.89,HIP 29275
091.6598303613539,-16.5183911493906,6.59,HIP 28948
091.2463725369790,-16.4844357564673,4.93,HIP 28816
092.3341587274205,-18.1263856169305,6.359,HIP 29178
091.9234944411819,-19.1658653420235,5.279,HIP 29048
091.7396374659776,-21.8122975727705,5.78,HIP 28984
092.2411253003745,-22.4273912041915,5.48,HIP 29150
091.6860632209491,-24.9267332258556,6.96,HIP 28966
091.4397884236359,-24.1955633532019,6.82,HIP 28874
091.6337356977742,-23.1108509210243,5.46,HIP 28943
092.4498198010357,-22.7743429402483,5.717,HIP 29234
090.3045743658576,-25.4177602750796,6.037,HIP 28520
090.8150146551816,-26.2845408637338,5.04,HIP 28675
092.4464190692226,-26.7010788437446,6.277,HIP 29233
092.8069023597230,-26.4820982739906,6.068,HIP 29347
090.5269841733279,-27.4272901862002,7.174,HIP 28591
092.6445014257256,-27.1543415969063,5.698,HIP 29294
091.5230797802485,-29.7586215359385,5.784,HIP 28899
091.0844371595378,-32.1724287256764,5.631,HIP 28756
091.5233474111840,-33.2191871293881,6.69,HIP 28900
090.3179070719820,-33.9118341154810,5.524,HIP 28524
090.4158921525,-35.0437481694,7.19,HIP 28557
091.7652899829409,-34.3120206885960,5.836,HIP 28992
091.9230333677046,-34.6399698558430,7.19,HIP 29047
092.6330172554618,-34.8168486757655,6.66,HIP 29292
091.3632443117248,-35.5136462622673,5.795,HIP 28855
090.26301264,-37.07160327,7.16,HIP 28504
090.7847701459475,-36.8729397915882,6.89,HIP 28662
090.7632541593549,-37.5470675575747,6.88,HIP 28654
091.8284939592450,-37.2001469720141,7.25,HIP 29012
091.8818020646187,-37.2529211871566,4.994,HIP 29034
090.5265163993578,-38.9893284211321,6.83,HIP 28593
092.5433468441035,-40.3537892263007,5.58,HIP 29263
091.6641896831852,-41.2200212540302,6.99,HIP 28952
092.4146674567933,-41.9804126315032,7.28,HIP 29217
091.9702503875872,-42.1540413348888,5.492,HIP 29064
090.2126345019264,-42.8704640372729,6.57,HIP 28489
091.6709709885779,-42.2987735053638,6.154,HIP 28957
091.9457878169997,-44.7293188158160,6.75,HIP 29057
092.1442883286520,-44.3562106107138,6.246,HIP 29129
092.8836778807929,+43.7990685748174,7.12,HIP 29378
092.8739461755990,+43.1651817261358,6.96,HIP 29373
095.5054230018869,+44.0585144387133,6.874,HIP 30267
095.3245442549783,+42.3402773627712,6.78,HIP 30205
093.4298008949162,+41.6972511424191,7.17,HIP 29565
094.4001479310085,+39.8584508921807,7.26,HIP 29886
094.4374205628330,+39.4738797505033,6.71,HIP 29901
093.3770510788195,+37.1591269602170,6.77,HIP 29541
094.9319176714714,+38.4352146243994,7.14,HIP 30074
094.0253570235126,+37.6366367658168,7.1,HIP 29767
093.9125341081647,+36.1486955890423,6.92,HIP 29725
094.3905899476260,+35.1491968745791,6.7,HIP 29882
094.7244348666536,+35.2079430806368,6.62,HIP 30002
093.5020941824010,+33.2442750235806,6.59,HIP 29581
093.0838554525608,+32.6933800599577,5.769,HIP 29451
094.0857820672202,+30.1024867586937,6.91,HIP 29790
095.5159680810042,+29.9641491377053,7.01,HIP 30273
093.8445377567,+29.4980766786,4.35,HIP 29696
094.6573733621076,+29.7814098063982,6.86,HIP 29975
095.2669860565058,+29.3717477022733,7.02,HIP 30188
095.2996536588266,+29.5408143973829,6.404,HIP 30200
094.5866201745103,+27.2101457242801,6.651,HIP 29955
092.8846052116705,+24.4202549259809,5.825,HIP 29379
093.0795786907736,+22.9085161160517,6.39,HIP 29450
095.1514985810379,+25.1890154043084,7.09,HIP 30144
094.0793615038374,+23.9700297809420,6.075,HIP 29789
094.2446078945906,+23.7409129032990,6.25,HIP 29840
094.7267778962655,+23.6032827689765,6.55,HIP 30003
094.8438487462289,+23.2745064840459,6.97,HIP 30049
093.7193553605537,+22.5067873271708,3.28,HIP 29655
094.8304005357720,+23.4694066176573,6.92,HIP 30046
092.8465880734366,+20.9054149978682,6.83,HIP 29367
093.0055871558067,+19.7905454736081,5.749,HIP 29433
092.9642278695676,+21.8682394805747,6.56,HIP 29416
095.3986384783756,+19.8920540783834,7.28,HIP 30229
093.3885392183478,+18.6803323913225,6.575,HIP 29545
093.9222914061228,+18.2974845497590,6.61,HIP 29731
094.0991333224936,+17.1816070812824,6.37,HIP 29798
094.7576683569051,+17.3252741909948,6.32,HIP 30019
095.3579944123892,+17.7634598774419,6.28,HIP 30218
093.0136647904,+16.1304059564,4.92,HIP 29434
092.9849872129,+14.2087654294,4.48,HIP 29426
093.6803818012112,+16.0371103008242,6.65,HIP 29637
093.8417494669402,+16.4309356579348,6.99,HIP 29694
093.8547140329018,+16.1431680693481,5.327,HIP 29704
094.9173897549614,+16.0132486061652,6.62,HIP 30067
093.5764393137273,+14.4935966210559,7.25,HIP 29602
094.3888051429621,+14.0586789730159,6.57,HIP 29881
094.5233689972651,+14.3828608389564,6.125,HIP 29931
095.0175983963352,+14.6511271923630,5.658,HIP 30099
092.8662955865979,+13.6385631706345,6.036,HIP 29371
093.7853033829155,+13.8511029809665,5.894,HIP 29678
094.8558667097037,+13.4339370957535,6.96,HIP 30051
093.9373540520214,+12.5510682025232,5.467,HIP 29736
094.7761282527478,+12.7467315455063,6.712,HIP 30025
095.4373570064656,+12.8619394630177,6.67,HIP 30245
093.6297321944195,+11.7969304914811,7.1,HIP 29620
095.2171489081730,+11.7562235306571,6.534,HIP 30169
093.2474918515375,+10.2874159387828,6.571,HIP 29508
094.7061520229512,+11.1650367306313,7.09,HIP 29994
093.9853542845689,+10.2816953276240,6.84,HIP 29752
094.2775850065214,+09.9423932916783,5.386,HIP 29850
094.6681447073179,+09.0471553660840,6.225,HIP 29982
092.9946918850710,+07.3913252901347,7.05,HIP 29429
093.2427655847539,+07.2776967065426,7.01,HIP 29502
093.0023617692375,+06.7830714769144,6.839,HIP 29432
093.2482193616542,+06.0162571516005,6.459,HIP 29509
094.2435150250068,+07.0525763978750,6.552,HIP 29839
095.07140795,+07.71881542,6.77,HIP 30120
093.9174042711321,+06.0661683525368,6.07,HIP 29728
094.0577703518320,+05.1141664872690,7.15,HIP 29780
093.6254211959836,+04.5430816218317,7.03,HIP 29618
093.9458900974079,+04.2836381969370,6.614,HIP 29739
093.8760128501292,+03.9581960898615,7.008,HIP 29713
093.6555266737041,+02.2899923706595,7.22,HIP 29632
095.3573768833,+02.2685216708,6.28,HIP 30217
095.4460061584672,+02.3424408313957,7.28,HIP 30248
093.9748870979,+01.1690791014,6.357,HIP 29746
094.0878205155017,+01.0803487456004,6.614,HIP 29791
093.1858105416796,-02.5048149058103,6.616,HIP 29487
093.8927712836210,-00.5121867699169,5.65,HIP 29716
093.8617550215380,-01.3998237345044,7.15,HIP 29706
094.7831595944689,-01.3669543291548,7.28,HIP 30027
092.93214960,-04.66543739,6.18,HIP 29401
093.2617639749803,-04.9352754941406,6.94,HIP 29513
094.9983358042,-02.9444934869,4.899,HIP 30093
093.4759752290892,-03.7413714027984,5.833,HIP 29575
093.6529276033573,-04.5684565878417,5.819,HIP 29629
093.68331941,-04.44893580,7.24,HIP 29638
093.8736393243002,-04.9147179847829,5.998,HIP 29711
094.4722196836300,-04.3826784187465,6.66,HIP 29917
095.2103031329445,-04.5954716468441,6.75,HIP 30167
092.9658944170014,-06.5502858332262,5.04,HIP 29417
094.57260756,-05.65434275,6.86,HIP 29951
093.7138902688,-06.2747744475,3.96,HIP 29651
094.5352869975929,-06.7253842728555,6.79,HIP 29936
093.4879304191142,-07.2480729853392,6.77,HIP 29579
094.9283324920019,-07.8229026559592,5.252,HIP 30073
095.0284451083296,-07.8719815186461,6.95,HIP 30105
095.4241058721253,-08.2360682219915,6.96,HIP 30238
093.2312650454280,-08.7290626482546,6.89,HIP 29497
